,tweet_id,retweets,favorites,timestamp,source,text,hashtags,expanded_urls,jpg_url
0,666020888022790149,517,2565,2015-11-15 22:32:08 +0000,Twitter for iPhone,"Here we have a Japanese Irish Setter, Lost eye in Vietnam (?), Big fan of relaxing on stair",,https://twitter.com/dog_rates/status/666020888022790149/photo/1,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg
1,666029285002620928,47,130,2015-11-15 23:05:30 +0000,Twitter for iPhone,"This is a western brown Mitsubishi terrier, Upset about leaf, Actually 2 dogs here",,https://twitter.com/dog_rates/status/666029285002620928/photo/1,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg
2,666033412701032449,44,125,2015-11-15 23:21:54 +0000,Twitter for iPhone,"Here is a very happy pup, Big fan of well-maintained decks, Just look at that tongue",,https://twitter.com/dog_rates/status/666033412701032449/photo/1,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg
3,666044226329800704,141,298,2015-11-16 00:04:52 +0000,Twitter for iPhone,"This is a purebred Piers Morgan, Loves to Netflix and chill, Always looks like he forgot to unplug the iron",,https://twitter.com/dog_rates/status/666044226329800704/photo/1,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg
4,666049248165822465,41,109,2015-11-16 00:24:50 +0000,Twitter for iPhone,"Here we have a 1949 1st generation vulpix, Enjoys sweat tea and Fox News, Cannot be phased",,https://twitter.com/dog_rates/status/666049248165822465/photo/1,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg
5,666050758794694657,58,133,2015-11-16 00:30:50 +0000,Twitter for iPhone,"This is a truly beautiful English Wilson Staff retriever, Has a nice phone, Privileged",,https://twitter.com/dog_rates/status/666050758794694657/photo/1,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg
6,666051853826850816,851,1219,2015-11-16 00:35:11 +0000,Twitter for iPhone,"This is an odd dog, Hard on the outside but loving on the inside, Petting still fun, Doesn't play catch well",,https://twitter.com/dog_rates/status/666051853826850816/photo/1,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg
7,666055525042405380,252,434,2015-11-16 00:49:46 +0000,Twitter for iPhone,"Here is a Siberian heavily armored polar bear mix, Strong owner",,https://twitter.com/dog_rates/status/666055525042405380/photo/1,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg
8,666057090499244032,142,297,2015-11-16 00:55:59 +0000,Twitter for iPhone,"My oh my, This is a rare blond Canadian terrier on wheels, Only $8,98, Rather docile",,https://twitter.com/dog_rates/status/666057090499244032/photo/1,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg
9,666058600524156928,57,111,2015-11-16 01:01:59 +0000,Twitter for iPhone,"Here is the Rand Paul of retrievers folks! He's probably good at poker, Can drink beer (lol rad)",,https://twitter.com/dog_rates/status/666058600524156928/photo/1,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg
